"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_TURNO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_GENERO";"DS_GENERO";"CD_ESTADO_CIVIL";"DS_ESTADO_CIVIL";"CD_FAIXA_ETARIA";"DS_FAIXA_ETARIA";"CD_GRAU_ESCOLARIDADE";"DS_GRAU_ESCOLARIDADE";"TP_CONVOCACAO";"TP_COMPARECIMENTO";"QT_MESARIOS_PERFIL"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27057";"ARAPIRACA";"22";"4";"FEMININO";"5";"VIÚVO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27170";"BELO MONTE";"29";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28258";"PALMEIRA DOS ÍNDIOS";"10";"2";"MASCULINO";"3";"CASADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28711";"SÃO MIGUEL DOS CAMPOS";"18";"4";"FEMININO";"3";"CASADO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28096";"MURICI";"9";"4";"FEMININO";"3";"CASADO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28932";"TEOTÔNIO VILELA";"34";"2";"MASCULINO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AL";"28754";"SÃO SEBASTIÃO";"49";"2";"MASCULINO";"1";"SOLTEIRO";"2000";"20 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AL";"27111";"BARRA DE SÃO MIGUEL";"26";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Ausências";"1"
"20/10/2024";"05:39:17";"2022";"2";"AL";"27936";"MARECHAL DEODORO";"26";"2";"MASCULINO";"1";"SOLTEIRO";"2000";"20 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AL";"28878";"VIÇOSA";"5";"4";"FEMININO";"3";"CASADO";"2529";"25 a 29 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AL";"27057";"ARAPIRACA";"55";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Ausências";"1"
"20/10/2024";"05:39:17";"2022";"2";"AL";"-3";"#NE";"-3";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AL";"27170";"BELO MONTE";"29";"2";"MASCULINO";"3";"CASADO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28339";"PENEDO";"13";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Ausências";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27413";"COLÔNIA LEOPOLDINA";"16";"4";"FEMININO";"1";"SOLTEIRO";"1900";"19 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27022";"PARICONHA";"39";"4";"FEMININO";"1";"SOLTEIRO";"5559";"55 a 59 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28258";"PALMEIRA DOS ÍNDIOS";"10";"2";"MASCULINO";"3";"CASADO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28339";"PENEDO";"13";"4";"FEMININO";"1";"SOLTEIRO";"5559";"55 a 59 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27057";"ARAPIRACA";"22";"2";"MASCULINO";"3";"CASADO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27413";"COLÔNIA LEOPOLDINA";"16";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AL";"27570";"GIRAU DO PONCIANO";"44";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27634";"IGREJA NOVA";"37";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27316";"CANAPI";"27";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28371";"PILAR";"8";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28835";"TRAIPU";"20";"2";"MASCULINO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"27081";"CAMPESTRE";"53";"2";"MASCULINO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28690";"SÃO LUÍS DO QUITUNDE";"17";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"4";"ENSINO FUNDAMENTAL COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AL";"28630";"SÃO BRÁS";"37";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
